UID,accession,collection_date,isolation_source,isolation_taxa,city,county,state,latitude,longitude,pseudo_lat,pseudo_lat,data_source
,KX547621,29-Sep-2004,,Cyanocitta cristata,,Nassau,New York,,,,,PRJNA262930
,KX547620,29-Aug-2002,,Corvus brachyrhynchos,,Jefferson,New York,,,,,PRJNA262930
,KX547619,15-Aug-2002,,Culiseta sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547618,25-Sep-2003,,Corvus brachyrhynchos,,Ulster,New York,,,,,PRJNA262930
,KX547617,26-Aug-2003,,Culex sp.,,Orange,New York,,,,,PRJNA262930
,KX547616,20-Sep-2007,,Corvus brachyrhynchos,,Kings,New York,,,,,PRJNA262930
,KX547615,26-Jul-2006,,Corvus brachyrhynchos,,Suffolk,New York,,,,,PRJNA262930
,KX547614,06-Jul-2005,,Culex sp.,,Erie,New York,,,,,PRJNA262930
,KX547613,27-Aug-2003,,Culiseta sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547612,21-Aug-2012,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547611,27-Aug-2009,,Corvus brachyrhynchos,,Columbia,New York,,,,,PRJNA262930
,KX547610,10-Aug-2004,,Culex sp.,,Monroe,New York,,,,,PRJNA262930
,KX547609,25-Sep-2003,,Sciurus carolinensis,,Albany,New York,,,,,PRJNA262930
,KX547608,25-Aug-2009,,Culex sp.,,Erie,New York,,,,,PRJNA262930
,KX547607,28-Aug-2006,,Culex sp.,,Erie,New York,,,,,PRJNA262930
,KX547606,01-Aug-2008,,Culex sp.,,Rockland,New York,,,,,PRJNA262930
,KX547605,11-Jul-2004,,Corvus brachyrhynchos,,Lewis,New York,,,,,PRJNA262930
,KX547604,28-Aug-2013,,Culex sp.,,Erie,New York,,,,,PRJNA262930
,KX547603,20-Sep-2002,,Corvus brachyrhynchos,,Saratoga,New York,,,,,PRJNA262930
,KX547602,01-Sep-2000,,Culex sp.,,Westchester,New York,,,,,PRJNA262930
,KX547601,09-Aug-2010,,Aedes sp.,,Nassau,New York,,,,,PRJNA262930
,KX547600,13-Sep-2010,,Corvus brachyrhynchos,,Rensselaer,New York,,,,,PRJNA262930
,KX547599,29-Sep-2005,,Culex sp.,,Westchester,New York,,,,,PRJNA262930
,KX547598,03-Sep-2009,,Corvus brachyrhynchos,,Dutchess,New York,,,,,PRJNA262930
,KX547597,14-Sep-2004,,Cyanocitta cristata,,Richmond,New York,,,,,PRJNA262930
,KX547596,11-Aug-2005,,Quiscalus quiscula,,Suffolk,New York,,,,,PRJNA262930
,KX547595,23-Aug-2007,,Corvus brachyrhynchos,,Dutchess,New York,,,,,PRJNA262930
,KX547594,31-Jul-2013,,Aedes sp.,,Westchester,New York,,,,,PRJNA262930
,KX547593,28-Sep-2003,,Cyanocitta cristata,,Washington,New York,,,,,PRJNA262930
,KX547592,22-Aug-2003,,Culex sp.,,Albany,New York,,,,,PRJNA262930
,KX547591,02-Sep-2004,,Cyanocitta cristata,,Rockland,New York,,,,,PRJNA262930
,KX547590,09-Sep-2004,,Carpodacus mexicanus,,Queens,New York,,,,,PRJNA262930
,KX547589,24-Aug-2007,,Cyanocitta cristata,,Queens,New York,,,,,PRJNA262930
,KX547588,27-Aug-2004,,Turdus migratorius,,Kings,New York,,,,,PRJNA262930
,KX547587,03-Aug-2006,,Turdus migratorius,,Suffolk,New York,,,,,PRJNA262930
,KX547586,19-Sep-2002,,Culex sp.,,Dutchess,New York,,,,,PRJNA262930
,KX547585,02-Sep-2009,,Corvus brachyrhynchos,,Albany,New York,,,,,PRJNA262930
,KX547584,06-Sep-2002,,Corvus brachyrhynchos,,Chemung,New York,,,,,PRJNA262930
,KX547583,04-Jun-2004,,Corvus brachyrhynchos,,Suffolk,New York,,,,,PRJNA262930
,KX547582,02-Jul-2010,,Culex sp.,,Rockland,New York,,,,,PRJNA262930
,KX547581,29-Jul-2003,,Culex sp.,,Putnam,New York,,,,,PRJNA262930
,KX547580,13-Aug-2008,,Corvus brachyrhynchos,,Niagara,New York,,,,,PRJNA262930
,KX547579,20-Jul-2012,,Aedes sp.,,Nassau,New York,,,,,PRJNA262930
,KX547578,18-Oct-2005,,Cyanocitta cristata,,Queens,New York,,,,,PRJNA262930
,KX547577,14-Jul-2004,,Corvus brachyrhynchos,,Herkimer,New York,,,,,PRJNA262930
,KX547576,07-Oct-2011,,Culiseta sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547575,20-Jun-2012,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547574,10-Jul-2012,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547573,04-Aug-2003,,Culex sp.,,Niagara,New York,,,,,PRJNA262930
,KX547572,06-Jul-2010,,Culex sp.,,Nassau,New York,,,,,PRJNA262930
,KX547571,13-Sep-2005,,Corvus brachyrhynchos,,Rockland,New York,,,,,PRJNA262930
,KX547570,02-Sep-2005,,Cyanocitta cristata,,Rockland,New York,,,,,PRJNA262930
,KX547569,09-Aug-2006,,Corvus brachyrhynchos,,Chautauqua,New York,,,,,PRJNA262930
,KX547568,20-Aug-2010,,Corvus brachyrhynchos,,Albany,New York,,,,,PRJNA262930
,KX547567,26-Aug-2006,,Corvus brachyrhynchos,,Cortland,New York,,,,,PRJNA262930
,KX547566,24-Jul-2002,,Culex sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547565,24-Sep-2013,,Culiseta sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547564,19-Aug-2002,,Corvus brachyrhynchos,,Suffolk,New York,,,,,PRJNA262930
,KX547563,09-Aug-2006,,Culex sp.,,Westchester,New York,,,,,PRJNA262930
,KX547562,27-Jul-2010,,Culex sp.,,Erie,New York,,,,,PRJNA262930
,KX547561,01-Sep-2009,,Corvus brachyrhynchos,,Suffolk,New York,,,,,PRJNA262930
,KX547560,17-Sep-2005,,Carduelis tristis,,Suffolk,New York,,,,,PRJNA262930
,KX547559,11-Sep-2012,,Culex sp.,,Nassau,New York,,,,,PRJNA262930
,KX547558,04-Sep-2008,,Culex sp.,,Nassau,New York,,,,,PRJNA262930
,KX547557,22-Sep-2009,,Cyanocitta cristata,,Suffolk,New York,,,,,PRJNA262930
,KX547556,06-Sep-2012,,Culiseta sp.,,Oswego,New York,,,,,PRJNA262930
,KX547555,17-Jul-2012,,Culex sp.,,Orange,New York,,,,,PRJNA262930
,KX547554,12-Sep-2002,,Turdus migratorius,,Bronx,New York,,,,,PRJNA262930
,KX547553,16-Sep-2006,,Cyanocitta cristata,,Jefferson,New York,,,,,PRJNA262930
,KX547552,16-Sep-2010,,Cyanocitta cristata,,Kings,New York,,,,,PRJNA262930
,KX547551,03-Oct-2013,,Culiseta sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547550,04-Sep-2003,,Culiseta sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547549,02-Oct-2003,,Corvus brachyrhynchos,,Cortland,New York,,,,,PRJNA262930
,KX547548,02-Sep-2014,,Culiseta sp.,,Oswego,New York,,,,,PRJNA262930
,KX547547,23-Aug-2012,,Culiseta sp.,,Oswego,New York,,,,,PRJNA262930
,KX547546,19-Sep-2006,,Corvus brachyrhynchos,,Otsego,New York,,,,,PRJNA262930
,KX547545,28-Sep-2007,,Corvus brachyrhynchos,,Monroe,New York,,,,,PRJNA262930
,KX547544,26-Aug-2009,,Accipiter striatus,,Onondaga,New York,,,,,PRJNA262930
,KX547543,05-Sep-2007,,Culex sp.,,Westchester,New York,,,,,PRJNA262930
,KX547542,07-Jun-2004,,Corvus brachyrhynchos,,Erie,New York,,,,,PRJNA262930
,KX547541,28-Aug-2009,,Culex sp.,,Nassau,New York,,,,,PRJNA262930
,KX547540,27-Sep-2012,,Culiseta sp.,,Onondaga,New York,,,,,PRJNA262930
,KX547539,22-Aug-2007,,Corvus brachyrhynchos,,Tompkins,New York,,,,,PRJNA262930
,KX547538,15-Aug-2001,,Culex sp.,,Nassau,New York,,,,,PRJNA262930
,KX547537,27-Sep-2011,,Culex sp.,,Suffolk,New York,,,,,PRJNA262930
,KX547536,01-Jun-2004,,Corvus brachyrhynchos,,Chautauqua,New York,,,,,PRJNA262930
,KX547535,06-Sep-2007,,Cyanocitta cristata,,Schenectady,New York,,,,,PRJNA262930
,KX547534,29-Sep-2004,,Cyanocitta cristata,,Erie,New York,,,,,PRJNA262930
,KX547533,20-May-2004,,Corvus brachyrhynchos,,Cattaraugus,New York,,,,,PRJNA262930
,KX547532,01-Aug-2005,,Cyanocitta cristata,,Suffolk,New York,,,,,PRJNA262930
,KX547531,13-Aug-2003,,Culex sp.,,Erie,New York,,,,,PRJNA262930
,KX547530,30-Sep-2005,,Passer domesticus,,Dutchess,New York,,,,,PRJNA262930
