,scripps_id,shipment,recieved,sample_id,collection_date,species,sample_type,address,country,state,county,city,zip,latitude,longitude,pcr_ct,cdna,pcr,library_prep,sequenced,#_of_reads,%_cds_covered,mean_coverage_depth,seq._complete?,gap_primers,computed_location,host
0,W001,1,yes,208-0677,10/2/07,American Crow,Bilateral ocular sample,12133 Rockcrest Rd,USA,CA,SanDiego,Lakeside,92040.0,32.846109000000006,-116.93042700000001,17.8,yes,yes,yes,yes,56643.0,100.0,766.7,Y,,sandiego,bird
1,W002,1,yes,208-0953,10/2/07,American Crow,Bilateral ocular sample,807 S Mollison Avenue,USA,CA,SanDiego,El_Cajon,92020.0,32.785812,-116.95003999999999,30.9,yes,yes,yes,yes,582109.0,100.0,4926.2,Y,,sandiego,bird
2,W003,1,yes,209-0632,8/18/08,American Crow,Bilateral ocular sample,664 Ecken Rd.,USA,CA,SanDiego,El_Cajon,92020.0,32.783557,-116.96956200000001,22.5,yes,yes,yes,yes,175936.0,100.0,2689.8,Y,,sandiego,bird
3,W004,1,yes,209-2652,5/13/09,American Crow,Bilateral ocular sample,11480 N Torrey Pines Rd,USA,CA,SanDiego,La_Jolla,92037.0,32.904429,-117.24343300000001,24.8,yes,yes,yes,yes,51093.0,100.0,676.9,Y,,sandiego,bird
4,W005,1,yes,W12-0618,10/29/12,American Crow,Bilateral ocular sample,6315 Hartley Dr.,USA,CA,SanDiego,San_Diego,92037.0,32.828063,-117.25828600000001,29.9,yes,yes,yes,yes,194255.0,100.0,2756.8,Y,,sandiego,bird
5,W006,1,yes,W13-0060,7/10/13,American Crow,Bilateral ocular sample,11437 Rocoso Rd,USA,CA,SanDiego,Lakeside,92040.0,32.884864,-116.9462,25.6,yes,yes,yes,yes,30941.0,100.0,321.5,Y,,sandiego,bird
6,W007,1,yes,W13-0064,7/23/13,American Crow,Bilateral ocular sample,2928 Levante St.,USA,CA,SanDiego,Carlsbad,92009.0,33.080931,-117.24713700000001,30.9,yes,yes,yes,yes,38934.0,100.0,545.6,Y,,sandiego,bird
7,W008,1,yes,W14-0111,10/7/14,American Crow,Bilateral ocular sample,1704 Rachael Ave.,USA,CA,SanDiego,National_City,91950.0,32.677111,-117.071316,18,yes,yes,yes,yes,279386.0,100.0,3433.5,Y,,sandiego,bird
8,W009,1,yes,15-B-0414-B,10/2/15,American Crow,Bilateral ocular sample,8865 Spectrum Center Blvd,USA,CA,SanDiego,San_Diego,92123.0,32.826815,-117.1420345,20.9,yes,yes,yes,yes,326757.0,100.0,4288.9,Y,,sandiego,bird
9,W010,1,yes,16-B-0935-B,8/15/16,American Crow,Bilateral ocular sample,621 Del Mar Ave,USA,CA,SanDiego,Chula_Vista,91910.0,32.630931,-117.072848,18.7,yes,yes,yes,yes,37360.0,100.0,400.5,Y,,sandiego,bird
