UID,accession,collection_date,isolation_source,isolation_taxa,city,county,state,latitude,longitude,pseudo_lat,pseudo_lat,data_source
,MF175829,6-Aug-13,,Culex quinquefasciatus,,Dallas,TX,,,,,unpublished_TX
,MF175828,8-Aug-13,,Culex quinquefasciatus,,Dallas,TX,,,,,unpublished_TX
,MF175827,7-Aug-13,,Culex quinquefasciatus,,Dallas,TX,,,,,unpublished_TX
,MF175826,13-Aug-13,,Culex quinquefasciatus,,Dallas,TX,,,,,unpublished_TX
,MF175825,13-Aug-13,,Culex quinquefasciatus,,Dallas,TX,,,,,unpublished_TX
,MF175824,13-Aug-13,,Culex quinquefasciatus,,Dallas,TX,,,,,unpublished_TX
,MF175823,15-Aug-13,,Culex quinquefasciatus,,Dallas,TX,,,,,unpublished_TX
,MF175822,20-Aug-13,,Culex quinquefasciatus,,Dallas,TX,,,,,unpublished_TX
,MF175821,20-Aug-13,,Culex quinquefasciatus,,Dallas,TX,,,,,unpublished_TX
,MF175820,10-Sep-13,,Culex quinquefasciatus,,Dallas,TX,,,,,unpublished_TX
,MF175819,11-Sep-13,,Culex quinquefasciatus,,Dallas,TX,,,,,unpublished_TX
,MF175818,26-Sep-13,,Culex quinquefasciatus,,Dallas,TX,,,,,unpublished_TX
,MF175817,30-Jul-13,,Culex quinquefasciatus,,Dallas,TX,,,,,unpublished_TX
,MF175816,27-Aug-13,,Culex quinquefasciatus,,Dallas,TX,,,,,unpublished_TX
,MF175815,9-Oct-12,,Culex quinquefasciatus,,Dallas,TX,,,,,unpublished_TX
,MF175814,4-Sep-12,,Culex quinquefasciatus,,Denton,TX,,,,,unpublished_TX
,MF175813,4-Sep-12,,Culex quinquefasciatus,,Dallas,TX,,,,,unpublished_TX
,MF175812,5-Sep-12,,Culex quinquefasciatus,,Collin,TX,,,,,unpublished_TX
,MF175811,12-Sep-12,,Culex quinquefasciatus,,Collin,TX,,,,,unpublished_TX
,MF175810,17-Sep-12,,Culex quinquefasciatus,,Tarrant,TX,,,,,unpublished_TX
,MF175809,18-Sep-12,,Culex quinquefasciatus,,Dallas,TX,,,,,unpublished_TX
,MF175808,19-Sep-12,,Culex quinquefasciatus,,Denton,TX,,,,,unpublished_TX
,MF175807,21-Sep-12,,Culex quinquefasciatus,,Ellis,TX,,,,,unpublished_TX
,MF175806,24-Sep-12,,Culex quinquefasciatus,,Denton,TX,,,,,unpublished_TX
