accession,collection_date,isolation_source,isolation_taxa,city,county,state,FIPS,region_name,district_name,latitude,longitude,data_source,<5% N
DQ080053,2003,mosquito,Culex tarsalis,,Apache,Arizona,4001.0,West,Mountain,,,PMID6494762,1
DQ080052,2003,mosquito,Culex tarsalis,,Maricopa,Arizona,4013.0,West,Mountain,,,PMID6494762,1
DQ080051,2003,mosquito,Culex tarsalis,,Cochise,Arizona,4003.0,West,Mountain,,,PMID6494762,1
KF704147,01-Aug-2010,mosquito,Culex quinquefasciatus,Glendale,Maricopa,Arizona,4013.0,West,Mountain,,,PMID24447818,1
KF704153,06-Aug-2010,mosquito,Culex quinquefasciatus,Gilbert,Maricopa,Arizona,4013.0,West,Mountain,,,PMID24447818,1
KF704158,09-Aug-2010,mosquito,Culex quinquefasciatus,Gilbert,Maricopa,Arizona,4013.0,West,Mountain,,,PMID24447818,1
MG004533,03-Jun-2014,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.28877131,-111.83,journal.pone.0205801,1
MG004539,10-Jun-2014,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.56043534,-111.92,journal.pone.0205801,1
MG004529,26-Jun-2014,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.40726108,-112.25,journal.pone.0205801,1
MG004535,22-Jul-2014,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.43627205,-111.89,journal.pone.0205801,1
MG004537,28-Aug-2014,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.46893257,-112.3,journal.pone.0205801,1
MG004540,12-May-2015,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.38735381,-111.79,journal.pone.0205801,1
MG004528,09-Jun-2015,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.4302667,-112.25,journal.pone.0205801,1
MG004532,05-Aug-2015,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.42717011,-111.83,journal.pone.0205801,1
MG004538,07-Oct-2015,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.47467024,-111.97,journal.pone.0205801,1
MG004531,11-May-2016,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.57274571,-112.14,journal.pone.0205801,1
MG004534,28-Jun-2016,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.22495195,-111.61,journal.pone.0205801,1
MG004536,25-Aug-2016,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.41665634,-111.83,journal.pone.0205801,1
MG004530,20-Oct-2016,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.42305326,-112.32,journal.pone.0205801,1
MG004541,26-Apr-2017,mosquito,Culex quinquefasciatus,,,Arizona,,,,33.44403032,-111.71,journal.pone.0205801,1
W113,25-May-2004,bird,Corvus brachyrhynchos,La Mirada,Los Angeles,California,6037.0,West,Pacific,33.913,-118.033,WN4K,1
W114,28-May-2004,bird,Corvus brachyrhynchos,San_Bernardino,San Bernardino,California,6071.0,West,Pacific,34.111,-117.322,WN4K,1
W115,09-Jul-2004,bird,Corvus brachyrhynchos,Van Nuys,Los Angeles,California,6037.0,West,Pacific,34.21,-118.506,WN4K,0
W251,20-Jul-2004,bird,Corvus brachyrhynchos,Bakersfield,Kern,California,6029.0,West,Pacific,35.329,-119.078,WN4K,0
